Date,Sentiment_Score
2016-01-01,0.0
2016-01-02,-0.09106666666666667
2016-01-03,0.0
2016-01-04,0.18716666666666668
2016-01-05,0.0
2016-01-06,0.0
2016-01-07,0.05403636363636364
2016-01-08,0.054925000000000015
2016-01-09,0.0
2016-01-10,0.6369
2016-01-11,0.2294
2016-01-12,0.03558
2016-01-13,0.08475999999999997
2016-01-14,0.2294
2016-01-15,-0.05015
2016-01-16,0.11976
2016-01-18,0.0
2016-01-19,0.0
2016-01-20,0.002740000000000009
2016-01-21,0.1726
2016-01-22,0.08808
2016-01-23,0.2802
2016-01-24,0.0
2016-01-25,0.0
2016-01-26,-0.0021142857142857113
2016-01-27,0.4404
2016-01-28,-0.05033333333333332
2016-01-29,0.2044625
2016-01-30,0.03655000000000001
2016-01-31,0.12726666666666667
2016-02-01,0.037340000000000005
2016-02-02,-0.019199999999999995
2016-02-03,-0.3404
2016-02-04,0.1779
2016-02-05,0.05746
2016-02-06,0.11194
2016-02-07,-0.23835
2016-02-08,-0.2263
2016-02-09,0.07138
2016-02-10,-0.1027
2016-02-11,0.03162142857142857
2016-02-12,-0.005071428571428578
2016-02-13,-0.0021
2016-02-14,-0.35015
2016-02-15,-0.3849333333333333
2016-02-16,0.219
2016-02-17,-0.1807
2016-02-18,-0.5423
2016-02-19,0.0
2016-02-20,-0.05516666666666666
2016-02-21,-0.09106666666666667
2016-02-23,0.0
2016-02-24,-0.2569
2016-02-25,0.0
2016-02-26,0.1591
2016-02-27,-0.4767
2016-02-28,0.0
2016-02-29,0.0
2016-03-01,-0.04390000000000001
2016-03-02,0.24974999999999997
2016-03-03,-0.0791
2016-03-04,-0.06677142857142856
2016-03-05,-0.31245
2016-03-06,0.0
2016-03-07,0.0
2016-03-08,0.1591
2016-03-09,0.08406666666666668
2016-03-10,0.06151666666666667
2016-03-11,0.008577777777777776
2016-03-12,-0.07955
2016-03-13,-0.5423
2016-03-14,0.07054
2016-03-16,0.175
2016-03-17,-0.0258
2016-03-18,0.0
2016-03-19,0.0
2016-03-20,0.1351
2016-03-21,-0.04765
2016-03-22,0.24695
2016-03-23,-0.24695
2016-03-24,0.0
2016-03-25,0.0
2016-03-26,0.06743333333333333
2016-03-28,0.5994
2016-03-29,-0.0683
2016-03-30,-0.105025
2016-03-31,0.07955
2016-04-01,0.12496666666666666
2016-04-02,0.1457
2016-04-03,0.27115
2016-04-04,0.042666666666666665
2016-04-05,-0.02363333333333333
2016-04-06,0.0
2016-04-07,-0.2018333333333334
2016-04-08,-0.019699999999999995
2016-04-09,0.16667500000000002
2016-04-11,0.0
2016-04-12,0.07558000000000001
2016-04-13,-0.148
2016-04-14,-0.2861333333333333
2016-04-15,0.315525
2016-04-16,0.2202
2016-04-17,-0.30975
2016-04-18,0.0
2016-04-19,-0.32214
2016-04-20,-0.06302222222222222
2016-04-21,-0.10846
2016-04-22,-0.019550000000000012
2016-04-23,0.00645
2016-04-24,0.0
2016-04-26,-0.022374999999999992
2016-04-27,-0.022688888888888894
2016-04-28,0.0
2016-04-29,0.007499999999999997
2016-04-30,0.41536
2016-05-01,0.40066666666666667
2016-05-02,0.0772
2016-05-03,-0.04447777777777777
2016-05-04,-0.06133333333333333
2016-05-05,0.10115
2016-05-06,0.0593
2016-05-07,0.1101
2016-05-08,0.31306666666666666
2016-05-09,-0.05829999999999999
2016-05-10,-0.220825
2016-05-11,-0.16390000000000002
2016-05-12,0.0813625
2016-05-13,-0.14155454545454546
2016-05-14,-0.20484
2016-05-15,-0.5423
2016-05-16,0.13158
2016-05-17,-0.053
2016-05-18,-0.1273125
2016-05-19,-0.32155
2016-05-20,-0.3073
2016-05-21,-0.06668333333333333
2016-05-22,0.0
2016-05-23,-0.66055
2016-05-24,0.10101666666666666
2016-05-25,-0.0824
2016-05-26,-0.0628
2016-05-27,-0.10198
2016-05-28,0.04790000000000001
2016-05-29,-0.22455
2016-05-30,0.09505
2016-05-31,0.18976
2016-06-01,0.059512499999999996
2016-06-03,0.085
2016-06-04,0.0
2016-06-05,0.0
2016-06-06,0.26553333333333334
2016-06-07,0.03354
2016-06-09,-0.31825
2016-06-10,0.0
2016-06-11,-0.15445
2016-06-12,-0.4019
2016-06-13,-0.13596666666666665
2016-06-14,0.06036666666666666
2016-06-15,0.02034999999999998
2016-06-16,-0.05382
2016-06-17,0.0919
2016-06-18,0.0
2016-06-19,-0.26940000000000003
2016-06-20,-0.23835
2016-06-21,0.5319
2016-06-22,0.0
2016-06-23,0.03771666666666667
2016-06-24,0.0
2016-06-25,0.0
2016-06-26,0.10715
2016-06-27,-0.26330000000000003
2016-06-28,0.04391249999999999
2016-06-29,-0.07965
2016-06-30,0.2357142857142857
2016-07-01,0.1364
2016-07-02,0.05174285714285715
2016-07-03,0.26335
2016-07-04,0.056575
2016-07-05,-0.01903999999999999
2016-07-06,-0.029266666666666673
2016-07-07,0.064
2016-07-08,0.03610000000000001
2016-07-09,0.15025
2016-07-10,0.3818
2016-07-11,0.11281666666666666
2016-07-12,0.08510000000000001
2016-07-13,0.068
2016-07-14,0.23954999999999999
2016-07-15,-0.07382
2016-07-16,0.0
2016-07-18,-0.40274999999999994
2016-07-19,0.014299999999999998
2016-07-20,0.022733333333333338
2016-07-21,0.048533333333333324
2016-07-22,0.070275
2016-07-23,0.4767
2016-07-25,-0.07305999999999999
2016-07-26,-0.14011666666666667
